#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,Continent
183,Sint Maarten,"2,479",,29,,"2,368",82,2,"57,215",669,"28,642","661,051","43,328",North America
184,Turks and Caicos,"2,421",,17,,"2,387",17,2,"61,755",434,"94,789","2,417,902","39,203",North America
185,Sao Tome and Principe,"2,353",,37,,"2,297",19,,"10,555",166,"13,834","62,056","222,929",Africa
186,Liberia,"2,250",,86,,"2,049",115,2,435,17,"108,339","20,965","5,167,621",Africa
187,St. Vincent Grenadines,"2,076",,12,,"1,845",219,2,"18,658",108,"49,768","447,280","111,268",North America
188,Saint Martin,"2,040",,12,,"1,399",629,7,"51,939",306,"27,588","702,396","39,277",North America
189,Laos,"1,963",,3,,"1,714",246,,266,0.4,"256,073","34,729","7,373,477",Asia
190,Bhutan,"1,687",,1,,"1,388",298,,"2,164",1,"798,573","1,024,474","779,496",Asia
191,Caribbean Netherlands,"1,616",,17,,"1,580",19,,"61,099",643,"8,550","323,264","26,449",North America
192,Isle of Man,"1,598",,29,,"1,562",7,1,"18,701",339,"64,093","750,056","85,451",Europe
193,Mauritius,"1,458",,18,,"1,206",234,,"1,145",14,"358,675","281,594","1,273,732",Africa
194,Antigua and Barbuda,"1,263",,42,,"1,214",7,,"12,799",426,"16,700","169,230","98,682",North America
195,St. Barth,"1,005",,1,,462,542,,"101,464",101,"26,385","2,663,806","9,905",North America
196,Faeroe Islands,743,,1,,697,45,,"15,152",20,"285,401","5,820,234","49,036",Europe
,,721,,15,,706,0,0,,,,,,
197,Diamond Princess,712,,13,,699,0,,,,,,,
198,Fiji,687,,4,,193,490,2,761,4,"113,668","125,950","902,482",Australia/Oceania
199,Cayman Islands,587,,2,,575,10,,"8,835",30,"99,576","1,498,781","66,438",North America
200,Tanzania,509,,21,,183,305,7,8,0.3,,,"61,305,241",Africa
201,Wallis and Futuna,445,,7,,438,0,,"40,253",633,"20,508","1,855,088","11,055",Australia/Oceania
202,British Virgin Islands,248,,1,,209,38,,"8,153",33,"39,777","1,307,680","30,418",North America
203,Brunei,244,,3,,231,10,,553,7,"129,279","292,904","441,370",Asia
204,Dominica,188,,,,187,1,,"2,606",,"17,135","237,485","72,152",North America
205,Grenada,161,,1,,160,0,,"1,425",9,"28,684","253,823","113,008",North America
206,New Caledonia,128,,,,58,70,,444,,"33,057","114,763","288,047",Australia/Oceania
207,Anguilla,109,,,,109,0,,"7,206",,"22,201","1,467,641","15,127",North America
208,Saint Kitts and Nevis,83,,,,51,32,,"1,550",,"16,831","314,310","53,549",North America
209,Falkland Islands,63,,,,63,0,,"17,627",,"7,307","2,044,488","3,574",South America
210,Macao,51,,,,49,2,,78,,"4,483","6,818","657,547",Asia
211,Greenland,43,,,,34,9,,756,,"26,225","461,204","56,862",North America
212,Vatican City,27,,,,27,0,,"33,624",,,,803,Europe
213,Saint Pierre Miquelon,25,,,,25,0,,"4,334",,"5,736","994,452","5,768",North America
214,Montserrat,20,,1,,19,0,,"4,004",200,"1,408","281,882","4,995",North America
